batch-16-acum-1,batch-16-acum-2,batch-4-acum-1,batch-32-acum-1,batch-4-acum-4,batch-8-acum-1,batch-2-acum-1,batch-2-acum-8
7.802451,8.169586,8.157006,8.025992,7.962377,8.090131,7.843548,7.97786
7.7782,8.133358,8.105953,7.99313,7.942733,8.122668,7.807271,7.957117
7.804332,8.123076,8.108494,7.992076,7.948394,8.086555,7.832202,7.961861
7.73171,8.108942,8.052568,7.980535,7.894528,8.032034,7.806991,7.917209
7.718146,8.090034,8.036825,7.964608,7.870121,8.043844,7.722493,7.884243
7.713749,8.051485,8.055936,7.9148,7.884895,8.016566,7.877552,7.910755
7.691542,8.017546,8.056959,7.882989,7.853759,7.980071,7.735866,7.867339
7.728548,7.970135,8.023855,7.835579,7.891394,7.965569,7.765068,7.905608
7.70814,7.978779,7.990091,7.848212,7.877069,7.962082,7.778283,7.88795
7.672209,7.944241,7.912478,7.814835,7.847004,7.886688,7.747781,7.860578
7.617163,7.953441,7.952919,7.825247,7.798956,7.880803,7.822344,7.811065
7.651816,7.953593,7.886199,7.824195,7.828438,7.830809,7.785876,7.838646
7.601502,7.890311,7.904497,7.759945,7.790391,7.803959,7.786111,7.801817
7.590941,7.859061,7.917626,7.726511,7.773467,7.808384,7.800757,7.783114
7.556647,7.851962,7.809315,7.720156,7.756198,7.863221,7.545944,7.765371
7.547325,7.848813,7.869964,7.711183,7.755158,7.843456,7.584422,7.769751
7.5856,7.842637,7.757904,7.706698,7.792206,7.779752,7.712096,7.804365
7.545563,7.811455,7.817122,7.674829,7.764295,7.795723,7.726107,7.771919
7.558567,7.83298,7.806583,7.694641,7.784792,7.78302,7.71852,7.797331
7.569839,7.829804,7.791502,7.696089,7.793895,7.733126,7.564213,7.8027
7.456438,7.806095,7.802904,7.66053,7.707018,7.727672,7.753542,7.717013
7.47632,7.771114,7.778683,7.612173,7.725005,7.740398,7.679725,7.738873
7.442438,7.782744,7.733812,7.628279,7.718761,7.690968,7.790648,7.734521
7.442849,7.745421,7.722911,7.587632,7.710105,7.733029,7.688954,7.72304
7.380921,7.738409,7.788972,7.569418,7.667286,7.765504,7.616852,7.67961
7.371325,7.736287,7.73565,7.559028,7.665048,7.630263,7.607913,7.680616
7.382063,7.766564,7.770926,7.588395,7.67396,7.709324,7.752076,7.685939
7.389472,7.738155,7.773126,7.567844,7.69176,7.667437,7.544918,7.710419
7.323465,7.731737,7.672044,7.548159,7.635312,7.564489,7.548985,7.651829
7.326635,7.672303,7.751433,7.482923,7.646947,7.59219,7.679887,7.66196
7.315789,7.707504,7.627931,7.514084,7.648859,7.614011,7.63293,7.666835
7.311116,7.702794,7.703004,7.496082,7.645112,7.611391,7.421738,7.666915
7.274567,7.682074,7.68738,7.475046,7.620397,7.580766,7.524347,7.641126
7.246733,7.633554,7.612551,7.425335,7.602096,7.565389,7.512421,7.624565
