model,average,calame_pt,lambada_pt,enem,bluex,oab_exams,assin2_rte,assin2_sts,faquad_nli,hatebr,hatespeech_pt,tweet_br,arc_pt,hellaswag_pt,truthfulqa
Tucano-2b4-sft,33.26,58.24,37.36,20.92,20.58,25.97,33.33,7.79,43.97,43.05,35.90,21.15,30.85,47.51,39.07
Tucano-2b4-dpo,34.14,57.66,39.92,20.43,22.81,24.83,43.39,6.31,43.97,27.70,29.18,43.11,32.05,48.28,38.44
